University,N&S-14,N&S,,,,,,,
Medical University of South Carolina,6,3.3,,,2.7,0.45,0.2025,,0.45
"University of Science, Malaysia",3.8,3.3,,,0.5,0.1315789474,0.0173130194,,0.1315789474
University of Campinas,4.6,2.9,,,1.7,0.3695652174,0.1365784499,,0.3695652174
Lanzhou University,2.2,2.9,,,-0.7,-0.3181818182,0.1012396694,,0.3181818182
Chang Gung University,3.3,2.7,,,0.6,0.1818181818,0.0330578512,,0.1818181818
Indian Institute of Science,2.9,2.7,2.9,2.7,0.2,0.0689655172,0.0047562426,,0.0689655172
Wuhan University,2.7,2.5,,,0.2,0.0740740741,0.0054869684,,0.0740740741
University of Belgrade,2.2,2.5,,,-0.3,-0.1363636364,0.0185950413,,0.1363636364
National Sun Yat-Sen University,2.4,2.3,,,0.1,0.0416666667,0.0017361111,,0.0416666667
University of Parma,5,2.1,,,2.9,0.58,0.3364,,0.58
University of Arkansas at Little Rock,2.2,2.1,,,0.1,0.0454545455,0.0020661157,,0.0454545455
Central South University,1.5,2.1,,,-0.6,-0.4,0.16,,0.4
Aristotle University of Thessaloniki,2.2,1.5,,,0.7,0.3181818182,0.1012396694,,0.3181818182
City University of Hong Kong,1.5,1.5,,,0,0,0,,0
Catholic University of Korea,1.5,1.5,,,0,0,0,,0
Tianjin University,1.5,1.5,,,0,0,0,,0
University of Essex,1.5,1.5,,,0,0,0,,0
University of Malaya,3.4,0,,,3.4,1,1,,1
,,,,,,,,,
,,,,,,,9.8925854387,,44.5790848778
,,,,,,,0.0210929327,,0.0950513537
,,,,,,,0.1452340618,,
