University,Research-17,Research-18
Lomonosov Moscow State UniversityRussian Federation,61.6,61.6
Tilburg UniversityNetherlands,50.2,50.1
Paris-Sorbonne University - Paris 4France,,34.3
"Royal Holloway, University of LondonUnited Kingdom",32.3,27.9
"University of California, RiversideUnited States",33.7,30.9
University of GothenburgSweden,40.5,39.2
National Taiwan UniversityTaiwan,52.5,54.7
Aalborg UniversityDenmark,35.2,36.2
University of AntwerpBelgium,39.8,40.1
University of BarcelonaSpain,33,32.5
University of BergenNorway,29.3,30.6
"Birkbeck, University of LondonUnited Kingdom",35.1,
University of BolognaItaly,27.5,30.1
Brandeis UniversityUnited States,24.6,24.3
University of CalgaryCanada,35.2,35.8
Chalmers University of TechnologySweden,28.5,39.6
Boston CollegeUnited States,19.3,
CentraleSupélecFrance,14.7,
University of CincinnatiUnited States,29.6,30.3
Copenhagen Business SchoolDenmark,24.4,36.6
University of DelawareUnited States,36.8,37.5
University of Duisburg-EssenGermany,28.7,29.9
ESPCI ParisTechFrance,22.3,
Florida State UniversityUnited States,39.5,42
Deakin UniversityAustralia,24.5,
Free University of Bozen-BolzanoItaly,8.1,
University of FribourgSwitzerland,32.7,35
George Washington UniversityUnited States,27.7,30.4
University of HamburgGermany,41.6,42
University of Hawai'i at MānoaUnited States,38.7,37.1
Hebrew University of JerusalemIsrael,39.6,41.7
University of IcelandIceland,27.6,29
University of IowaUnited States,27.1,34
James Cook UniversityAustralia,22.3,27.7
University of KielGermany,27.2,28.1
King Abdulaziz UniversitySaudi Arabia,12.4,15.3
University of KonstanzGermany,44.5,44.5
Korea UniversitySouth Korea,45.4,47.7
"National University of Ireland, GalwayIreland",27.8,30.1
Osaka UniversityJapan,49.6,57.6
University of OtagoNew Zealand,30.7,30.7
University of OttawaCanada,21,37.5
Paris Descartes UniversityFrance,32.5,
Paris Diderot University - Paris 7France,24,25.8
University of PassauGermany,,23.6
University of PotsdamGermany,,41.4
Queen's University BelfastUnited Kingdom,31.9,32.3
Polytechnic University of MilanItaly,30.3,
Queensland University of TechnologyAustralia,37.9,40.3
University of ReadingUnited Kingdom,37.5,34.9
Royal College of Surgeons in IrelandIreland,18.6,21.8
Rensselaer Polytechnic InstituteUnited States,33.5,
Ruhr University BochumGermany,36.2,42.9
Rush UniversityUnited States,13.6,
Sapienza University of RomeItaly,35.3,
University of South AustraliaAustralia,29.9,36.3
"St George's, University of LondonUnited Kingdom",20.7,23.4
University of StuttgartGermany,44.5,48.8
University of TampereFinland,29.3,32.4
Technical University of DarmstadtGermany,43,43.7
University of Technology SydneyAustralia,40,40.5
Tel Aviv UniversityIsrael,51.1,52.1
University of Texas at DallasUnited States,32.5,29.4
Tohoku UniversityJapan,47.3,50.6
Ulsan National Institute of Science and TechnologySouth Korea,,30.7
University College DublinIreland,37.8,37.5
University of UtahUnited States,30.5,34.1
Vita-Salute San Raffaele UniversityItaly,,23.1
University of WaterlooCanada,44.9,41.7
Western UniversityCanada,34.9,36.1
Yonsei University (Seoul campus)South Korea,,50.2
Aix-Marseille UniversityFrance,,22.4
University of BathUnited Kingdom,31,31.7
University of BayreuthGermany,31.4,34.1
Bielefeld UniversityGermany,43.7,42
University of BremenGermany,,36.5
University at BuffaloUnited States,29,28.5
Clark UniversityUnited States,,23.7
University of Colorado DenverUnited States,,18
Charles Darwin UniversityAustralia,19,
Colorado School of MinesUnited States,27.8,26.8
Dalhousie UniversityCanada,29.6,28.3
École des Ponts ParisTechFrance,,16.9
University of EssexUnited Kingdom,,32
Goethe University FrankfurtGermany,27.5,27.8
Griffith UniversityAustralia,28.5,29.8
University of HohenheimGermany,30.1,28.8
University of Illinois at ChicagoUnited States,35.3,31.6
Indian Institute of ScienceIndia,49.2,48.6
University of InnsbruckAustria,,18.5
Johannes Gutenberg University of MainzGermany,22,23.6
Koç UniversityTurkey,29.8,
Laval UniversityCanada,27.3,28.7
Macquarie UniversityAustralia,36.5,34.4
University of MarburgGermany,27.2,27.7
Medical University of ViennaAustria,,13.5
Moscow Institute of Physics and TechnologyRussian Federation,,41.4
University of NewcastleAustralia,28.5,26.9
North Carolina State UniversityUnited States,32.7,34.5
Mines ParisTechFrance,20.3,
National Tsing Hua UniversityTaiwan,40.1,
Norwegian University of Science and TechnologyNorway,32.8,34.6
University of OregonUnited States,,30.1
Oregon Health and Science UniversityUnited States,15.3,15.1
University of OuluFinland,32.6,30
Queen's UniversityCanada,34.8,35.9
University of São PauloBrazil,60.2,55.5
Simon Fraser UniversityCanada,31.9,33.4
University of Southern DenmarkDenmark,23.6,25.3
University of South FloridaUnited States,34.9,35.8
Stony Brook UniversityUnited States,24.5,23.8
University of SurreyUnited Kingdom,32.6,33.1
Swansea UniversityUnited Kingdom,,25.6
Swedish University of Agricultural SciencesSweden,22.3,27.1
Syracuse UniversityUnited States,25.9,28.7
"University of Tennessee, KnoxvilleUnited States",21.5,
Tokyo Institute of TechnologyJapan,50.5,52.9
University of TrentoItaly,27.7,29.6
Umeå UniversitySweden,28.6,29.8
Wake Forest UniversityUnited States,20.3,18.4
Vienna University of TechnologyAustria,25.5,
Virginia Polytechnic Institute and State UniversityUnited States,39.9,
William & MaryUnited States,16.8,18.2
University of the WitwatersrandSouth Africa,37.3,23.2
University of WollongongAustralia,32.1,33.2
Yonsei UniversitySouth Korea,40.1,
