University,Teaching-17,Teaching-18
Florida State UniversityUnited States,40.8,41.3
Deakin UniversityAustralia,23,
Free University of Bozen-BolzanoItaly,22.8,
University of FribourgSwitzerland,33.7,34.2
George Washington UniversityUnited States,47.1,44.8
University of HamburgGermany,42,43.5
University of Hawai'i at MānoaUnited States,34.2,37.3
Hebrew University of JerusalemIsrael,44.3,39.9
University of IcelandIceland,16.9,19.5
University of IowaUnited States,40.9,42
James Cook UniversityAustralia,21.7,23.4
University of KielGermany,31.6,31.5
King Abdulaziz UniversitySaudi Arabia,26.4,25.6
University of KonstanzGermany,39.8,39.1
Korea UniversitySouth Korea,40.9,44.7
"National University of Ireland, GalwayIreland",27.7,26.8
Osaka UniversityJapan,52.6,53.7
University of OtagoNew Zealand,30.5,31.2
University of OttawaCanada,38.1,37.6
Paris Descartes UniversityFrance,24.6,
Paris Diderot University - Paris 7France,28.9,30.2
University of PassauGermany,,30.2
University of PotsdamGermany,,35.6
Queen's University BelfastUnited Kingdom,31.2,28.3
Polytechnic University of MilanItaly,32.6,
Queensland University of TechnologyAustralia,28.4,30.7
University of ReadingUnited Kingdom,36.8,34.6
Royal College of Surgeons in IrelandIreland,35.5,31.9
Rensselaer Polytechnic InstituteUnited States,33.6,
Ruhr University BochumGermany,36.7,36.6
Rush UniversityUnited States,38.4,
Sapienza University of RomeItaly,38.3,
University of South AustraliaAustralia,29.9,31.5
"St George's, University of LondonUnited Kingdom",21.3,21.4
University of StuttgartGermany,42.3,41.1
University of TampereFinland,26.2,25.8
Technical University of DarmstadtGermany,38.2,39.2
University of Technology SydneyAustralia,27.1,29.7
Tel Aviv UniversityIsrael,41,41.5
University of Texas at DallasUnited States,26.9,25.7
Tohoku UniversityJapan,48.6,49.6
Ulsan National Institute of Science and TechnologySouth Korea,,22.9
University College DublinIreland,31.5,29.2
University of UtahUnited States,37.9,37.2
Vita-Salute San Raffaele UniversityItaly,,34
University of WaterlooCanada,37.8,35.7
Western UniversityCanada,40.1,41.8
Yonsei University (Seoul campus)South Korea,,48.6
Aix-Marseille UniversityFrance,,40.2
University of BathUnited Kingdom,31.8,33.9
University of BayreuthGermany,32.6,34.4
Bielefeld UniversityGermany,37.6,36.9
University of BremenGermany,,36.4
University at BuffaloUnited States,38,38.8
Clark UniversityUnited States,,23.7
University of Colorado DenverUnited States,,30.2
Charles Darwin UniversityAustralia,18.4,
Colorado School of MinesUnited States,32.6,33.6
Dalhousie UniversityCanada,29.1,26.6
École des Ponts ParisTechFrance,,38.1
University of EssexUnited Kingdom,,33.4
Goethe University FrankfurtGermany,32.4,32.5
Griffith UniversityAustralia,22.6,23.4
University of HohenheimGermany,34.1,34.9
University of Illinois at ChicagoUnited States,46,42.1
Indian Institute of ScienceIndia,50.1,53.8
University of InnsbruckAustria,,27.5
Johannes Gutenberg University of MainzGermany,35.8,36.4
Koç UniversityTurkey,25.2,
Laval UniversityCanada,37,37.7
Macquarie UniversityAustralia,32.5,31.3
University of MarburgGermany,35.1,35.7
Medical University of ViennaAustria,,31.2
Moscow Institute of Physics and TechnologyRussian Federation,,47.7
University of NewcastleAustralia,29.3,28
North Carolina State UniversityUnited States,37.5,35.6
Mines ParisTechFrance,43.5,
National Tsing Hua UniversityTaiwan,38.7,
Norwegian University of Science and TechnologyNorway,30.1,30.7
University of OregonUnited States,,31.1
Oregon Health and Science UniversityUnited States,29.7,32.2
University of OuluFinland,30.3,30.2
Queen's UniversityCanada,38.9,40
University of São PauloBrazil,57.2,52.9
Simon Fraser UniversityCanada,23.8,25.6
University of Southern DenmarkDenmark,21.4,21.4
University of South FloridaUnited States,27.8,29.6
Stony Brook UniversityUnited States,34.7,33
University of SurreyUnited Kingdom,30,30.3
Swansea UniversityUnited Kingdom,,22.1
Swedish University of Agricultural SciencesSweden,31.3,30
Syracuse UniversityUnited States,32.9,32.8
"University of Tennessee, KnoxvilleUnited States",30.5,
Tokyo Institute of TechnologyJapan,48.4,49.5
University of TrentoItaly,23.6,26.2
Umeå UniversitySweden,22.6,24.9
Wake Forest UniversityUnited States,37.8,34.8
Vienna University of TechnologyAustria,38.1,
Virginia Polytechnic Institute and State UniversityUnited States,34.9,
William & MaryUnited States,40.8,44.9
University of the WitwatersrandSouth Africa,26.4,26.6
University of WollongongAustralia,28.3,29.4
Yonsei UniversitySouth Korea,44.2,
