University,Teaching,Teaching-16
University of HoustonUnited States of America,39.3,34.9
University of GenevaSwitzerland,34.5,34.9
University of Cape TownSouth Africa,26.8,34.9
Renmin University of ChinaChina,34.9,34.7
Wake Forest UniversityUnited States of America,33.3,34.6
University of WürzburgGermany,28.6,34.6
Eindhoven University of TechnologyNetherlands,38.3,34.3
Radboud University NijmegenNetherlands,30.5,34.3
Joseph Fourier UniversityFrance,38,34.2
Vienna University of TechnologyAustria,43.3,34.1
Tilburg UniversityNetherlands,33,34.1
Queen Mary University of LondonUnited Kingdom,32.4,34.1
Boston CollegeUnited States of America,32.4,34.1
University of TwenteNetherlands,32.3,34.1
Stockholm UniversitySweden,30.1,34.1
Queen’s University BelfastUnited Kingdom,30.1,34.1
Lancaster UniversityUnited Kingdom,35.4,34
University of CalgaryCanada,34.4,33.9
University of EssexUnited Kingdom,31.6,33.9
Hanyang UniversitySouth Korea,31.5,33.9
"Birkbeck, University of LondonUnited Kingdom",28.3,33.5
University of Western AustraliaAustralia,36.3,33.4
University of SussexUnited Kingdom,31.9,33.4
National Chiao Tung UniversityTaiwan,35,32.9
Pompeu Fabra UniversitySpain,25.1,32.9
University of AdelaideAustralia,33.8,32.8
Ruhr University BochumGermany,31.5,32.8
University of LiverpoolUnited Kingdom,31.3,32.8
Stony Brook UniversityUnited States of America,32.8,32.6
University of BergenNorway,29.5,32.5
Arizona State UniversityUnited States of America,35.7,32.4
University of KielGermany,31.1,32.3
University of FribourgSwitzerland,29.2,32.3
University of Duisburg-EssenGermany,21.9,32.3
Bayreuth UniversityGermany,21.3,32.2
City University of Hong KongHong Kong,31,32.1
University of LeicesterUnited Kingdom,29.8,32.1
University of Hawai’i at MānoaUnited States of America,35.1,32
Sun Yat-sen UniversityChina,32.5,31.9
Wayne State UniversityUnited States of America,32,31.9
University of NavarraSpain,29.5,31.9
University of East AngliaUnited Kingdom,25.2,31.9
National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,27.7,31.7
University of AntwerpBelgium,34.6,31.6
Colorado State UniversityUnited States of America,27.6,31.6
Charles University in PragueCzech Republic,31.5,31.5
Swedish University of Agricultural SciencesSweden,27.9,31.5
Syracuse UniversityUnited States of America,32.4,31.4
University of AucklandNew Zealand,28.6,31.4
University of CincinnatiUnited States of America,32,31.3
Iowa State UniversityUnited States of America,36.4,31.2
Drexel UniversityUnited States of America,31.8,31.2
University of MissouriUnited States of America,31.7,31.2
University of South CarolinaUnited States of America,34.5,31.1
Aalto UniversityFinland,31.8,31.1
"University of California, Santa CruzUnited States of America",30.6,31.1
University of BremenGermany,33.9,30.9
Cardiff UniversityUnited Kingdom,30.5,30.9
Newcastle UniversityUnited Kingdom,30.3,30.9
University of LausanneSwitzerland,29.4,30.9
Technion Israel Institute of TechnologyIsrael,36.9,30.8
University of MontanaUnited States of America,29.1,30.8
University of TrentoItaly,26.8,30.8
University of OtagoNew Zealand,27.1,30.7
Oregon State UniversityUnited States of America,27.8,30.6
Paris Diderot University – Paris 7France,25.6,30.5
University of MilanItaly,25.3,30.5
Dalhousie UniversityCanada,33.6,30.4
Rensselaer Polytechnic InstituteUnited States of America,30.9,30.4
York UniversityCanada,27.5,30.2
University of Nebraska-LincolnUnited States of America,31,30.1
Polytechnic University of MilanItaly,27.6,30.1
Middle East Technical UniversityTurkey,45.5,29.9
Royal College of Surgeons in IrelandRepublic of Ireland,24.7,29.9
National Cheng Kung UniversityTaiwan,31.8,29.8
University of AberdeenUnited Kingdom,28,29.7
Indian Institute of Technology RoorkeeIndia,25.2,29.7
University of SalentoItaly,32.3,29.6
George Mason UniversityUnited States of America,26.3,29.6
Hong Kong Polytechnic UniversityHong Kong,33.7,29.3
University of LiègeBelgium,25.9,29.1
Washington State UniversityUnited States of America,28.5,29
University of BathUnited Kingdom,29.2,28.9
Queensland University of TechnologyAustralia,29.9,28.8
Vrije Universiteit BrusselBelgium,31.2,28.7
University of Bari Aldo MoroItaly,29.1,28.7
University College CorkRepublic of Ireland,26.7,28.6
Colorado School of MinesUnited States of America,26.1,28.5
University of GothenburgSweden,24.1,28.5
Macquarie UniversityAustralia,24,28.5
VU University AmsterdamNetherlands,35.5,28.4
Brandeis UniversityUnited States of America,25.8,28.3
Stellenbosch UniversitySouth Africa,30,28.2
University of JyväskyläFinland,27.6,28.2
"University of California, RiversideUnited States of America",29.4,27.5
University of TurinItaly,29.4,27.4
University of NewcastleAustralia,26.5,27.4
"National University of Ireland, GalwayRepublic of Ireland",26.7,27.3
University of ManitobaCanada,31.6,27.1
Lappeenranta University of TechnologyFinland,25.2,27.1
University of TurkuFinland,24.3,27.1
Sharif University of TechnologyIran,28.7,26.6
Medical University of ViennaAustria,28.6,26.6
University of TriesteItaly,28.7,26.5
UiT The Arctic University of NorwayNorway,20.7,26.5
University of South AustraliaAustralia,25.7,26.4
University of the WitwatersrandSouth Africa,22.3,26.2
Université Libre de BruxellesBelgium,26.7,26.1
National Sun Yat-Sen UniversityTaiwan,26.4,26.1
University of WarsawPoland,20.8,26.1
Victoria University of WellingtonNew Zealand,21.6,26
University of LisbonPortugal,30.1,25.9
University of WollongongAustralia,25.2,25.8
University of PaduaItaly,20.7,25.7
University of New MexicoUnited States of America,29.6,25.6
State University of New York AlbanyUnited States of America,25.7,25.6
University of DundeeUnited Kingdom,24.4,25.6
"St George’s, University of LondonUnited Kingdom",23.1,25.6
University of StrasbourgFrance,28.6,25.5
Aalborg UniversityDenmark,23.8,25.1
University of PaviaItaly,26.3,25
University of GrazAustria,23.7,24.9
University of South FloridaUnited States of America,27.7,24.8
University of Eastern FinlandFinland,24.3,24.8
Brunel University LondonUnited Kingdom,22.1,24.8
Panjab UniversityIndia,23.7,24.6
University of Milan-BicoccaItaly,27.1,24.3
University of Texas at DallasUnited States of America,26,24.3
Linköping UniversitySweden,20.2,24.2
Lehigh UniversityUnited States of America,25.4,23.9
Ewha Womans UniversitySouth Korea,23.5,23.9
University of MinhoPortugal,20.2,23.9
University of DelawareUnited States of America,29,23.7
Waseda UniversityJapan,25.5,23.6
University of InnsbruckAustria,23.9,23.6
University of TampereFinland,22.9,23.5
University of CanterburyNew Zealand,21.1,23.5
