University,Citation,Citations-16
Queen’s University BelfastUnited Kingdom,52.2,68.9
University of TwenteNetherlands,49.4,68.8
"National University of Ireland, GalwayRepublic of Ireland",62.8,68.5
Université Catholique de LouvainBelgium,67.7,68.4
Chinese University of Hong KongHong Kong,57.8,68.4
Swedish University of Agricultural SciencesSweden,59.9,68.1
Hong Kong Baptist UniversityHong Kong,70.8,67.9
University of CalgaryCanada,59.4,67.8
Tulane UniversityUnited States of America,53.9,67.8
University of FloridaUnited States of America,62.2,67.7
University of Hawai’i at MānoaUnited States of America,51.5,67.7
University of TurinItaly,72.5,67.5
University of InnsbruckAustria,77,67.3
Scuola Normale Superiore di PisaItaly,96.4,67.2
University of Science and Technology of ChinaChina,73.6,67.2
University of NewcastleAustralia,57.5,67.2
Aberystwyth UniversityUnited Kingdom,52.2,67.2
Deakin UniversityAustralia,57.5,66.8
Claude Bernard University Lyon 1France,62.6,66.5
University of WaterlooCanada,47,66.5
"Birkbeck, University of LondonUnited Kingdom",60.4,66.3
TU Dresden Germany,70.8,66.1
University of Milan-BicoccaItaly,76.6,65.8
University of TurkuFinland,47.7,65.8
George Washington UniversityUnited States of America,70,65.7
University of MontanaUnited States of America,75,65.5
Bangor UniversityUnited Kingdom,55.8,65.4
Wayne State UniversityUnited States of America,61,65.3
Royal College of Surgeons in IrelandRepublic of Ireland,43.5,65.3
Dalhousie UniversityCanada,54.4,65.2
University of PaviaItaly,75.6,65.1
Rensselaer Polytechnic InstituteUnited States of America,67.8,65.1
University of Eastern FinlandFinland,53.8,65.1
George Mason UniversityUnited States of America,53.9,64.9
University of MilanItaly,66.9,64.8
University of Rome IIIItaly,62.1,64.8
École PolytechniqueFrance,79.9,64.7
Hebrew University of JerusalemIsrael,57.2,64.6
University of PisaItaly,69.2,64.5
University of StrasbourgFrance,74,64.4
University of Nebraska Medical CenterUnited States of America,51.5,64.4
Bilkent UniversityTurkey,76,64.1
University of FribourgSwitzerland,58.6,64.1
KTH Royal Institute of TechnologySweden,55.1,63.9
Oregon State UniversityUnited States of America,63.3,63.8
University of TampereFinland,58.7,63.7
University of AlbertaCanada,61.8,63.6
University of ViennaAustria,56.3,63.6
University of FerraraItaly,64.5,63.3
Hong Kong Polytechnic UniversityHong Kong,56.5,63.3
RWTH Aachen UniversityGermany,75,63.2
Purdue UniversityUnited States of America,62.2,63.2
University of Illinois at ChicagoUnited States of America,55.1,63.2
San Diego State UniversityUnited States of America,65.6,62.7
Laval UniversityCanada,58.1,62.2
Aalto UniversityFinland,50.2,62.1
University at BuffaloUnited States of America,57.5,62
University of KonstanzGermany,59.4,61.9
Iowa State UniversityUnited States of America,72,61.5
University of OttawaCanada,62.9,61.5
Sapienza University of RomeItaly,50.7,61.5
Delft University of TechnologyNetherlands,42.6,61.5
Fudan UniversityChina,61,61.1
University of TokyoJapan,74.7,60.9
Free University of BerlinGermany,67.6,60.2
University of MissouriUnited States of America,46.6,60.2
Bayreuth UniversityGermany,61.8,60.1
Norwegian University of Science and TechnologyNorway,49.6,59.8
Montpellier UniversityFrance,67.4,59.5
Colorado State UniversityUnited States of America,59.9,59.3
University of WollongongAustralia,55.1,59.3
University of StirlingUnited Kingdom,49.9,59.1
University of Western OntarioCanada,47,59
Tsinghua UniversityChina,65,58.8
UiT The Arctic University of NorwayNorway,53.2,58.8
University of South CarolinaUnited States of America,55.1,58.7
University of PortsmouthUnited Kingdom,61.6,58.2
Lehigh UniversityUnited States of America,56.3,58.2
Drexel UniversityUnited States of America,57.5,57.7
University of NavarraSpain,41.7,57.5
University of ConnecticutUnited States of America,45.4,57
Vrije Universiteit BrusselBelgium,48.1,56.8
University of BathUnited Kingdom,47.5,56.7
Queensland University of TechnologyAustralia,42.9,56
University of StuttgartGermany,56.9,55.7
University of JyväskyläFinland,50.2,55.5
Vienna University of TechnologyAustria,41.7,54.6
Queen’s UniversityCanada,48.2,54.4
Ruhr University BochumGermany,42,54.4
Nanjing UniversityChina,59.6,54.2
Virginia Polytechnic Institute and State UniversityUnited States of America,40.7,54.2
Sungkyunkwan University (SKKU)South Korea,51.7,53.8
University of WaikatoNew Zealand,50,53.7
University of Nebraska-LincolnUnited States of America,57.5,53.5
Swinburne University of TechnologyAustralia,50.2,53.4
University of GrazAustria,55.1,53.3
University of SalentoItaly,64.5,53
National Tsing Hua UniversityTaiwan,49.1,53
Sabancı UniversityTurkey,88.5,52.8
Western Sydney UniversityAustralia,58.7,52.3
Macquarie UniversityAustralia,50.2,52.3
University of GeorgiaUnited States of America,46.6,52.2
Chalmers University of TechnologySweden,40.8,52.2
Technion Israel Institute of TechnologyIsrael,52,52.1
University of HoustonUnited States of America,44.2,52
Aston UniversityUnited Kingdom,45.1,51.9
Tilburg UniversityNetherlands,34.9,51.5
Murdoch UniversityAustralia,46.5,51.2
Technical University of DarmstadtGermany,42,51.1
University of HertfordshireUnited Kingdom,65,50.5
Ewha Womans UniversitySouth Korea,57.6,50.4
University of BremenGermany,55.7,50
Seoul National UniversitySouth Korea,48.7,50
Bielefeld UniversityGermany,52,49.9
University of MacauMacau,68.1,49.7
University of ManitobaCanada,48.2,49.7
University of ValenciaSpain,72.7,49.6
Washington State UniversityUnited States of America,44.2,49.6
Tohoku UniversityJapan,49.6,49.4
Tel Aviv UniversityIsrael,45.5,49.2
York UniversityCanada,62.9,49.1
University of Bari Aldo MoroItaly,52,48.8
Indian Institute of Technology BombayIndia,43.5,48.5
University College CorkRepublic of Ireland,56.9,48.4
Université Libre de BruxellesBelgium,64.4,47.9
National Taiwan UniversityTaiwan,47.7,47.3
Texas A&M UniversityUnited States of America,55.1,47.1
Autonomous University of MadridSpain,59.7,46.9
Stellenbosch UniversitySouth Africa,45.6,46.9
Kyoto UniversityJapan,57,46.6
University of LiègeBelgium,44.6,46.5
Sun Yat-sen UniversityChina,54.1,45.7
Boğaziçi UniversityTurkey,96.8,45.4
Curtin UniversityAustralia,45.3,44.6
Victoria University of WellingtonNew Zealand,53.8,44.3
Indian Institute of ScienceIndia,51.6,42.4
University of WarsawPoland,70,42.2
Tokyo Institute of TechnologyJapan,48.1,42.2
Korea UniversitySouth Korea,39.9,41.8
University of South AustraliaAustralia,52.7,41.2
Panjab UniversityIndia,84.4,41
Charles University in PragueCzech Republic,50.1,41
Nagoya UniversityJapan,59.9,40.1
Brunel University LondonUnited Kingdom,75.3,39.5
Isfahan University of TechnologyIran,48.9,39.5
Yonsei UniversitySouth Korea,44.3,39.4
Kansas State UniversityUnited States of America,61,39.3
National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,30.9,39.1
University of CanterburyNew Zealand,53.8,38.9
University of EssexUnited Kingdom,39.3,38.6
Osaka UniversityJapan,51.1,37.4
Indian Institute of Technology RoorkeeIndia,62.6,37.2
Tokyo Medical and Dental University (TMDU)Japan,51.1,36.6
King Mongkut’s University of Technology ThonburiThailand,75,36.2
Zhejiang UniversityChina,40.2,36.1
State University of New York AlbanyUnited States of America,68.9,35.5
University of MinhoPortugal,60.6,35.3
National Chiao Tung UniversityTaiwan,40.4,34.2
Shanghai Jiao Tong UniversityChina,38.9,34
University of TsukubaJapan,51.1,33.7
Sharif University of TechnologyIran,50.4,33.7
University of LisbonPortugal,44.8,32.4
Carleton UniversityCanada,76.9,32
Kyushu UniversityJapan,33.6,31.8
"University of the Andes, ColombiaColombia",89.8,31.2
Hanyang UniversitySouth Korea,29,31.1
Renmin University of ChinaChina,59.6,30.7
Waseda UniversityJapan,55.5,29.4
Hokkaido UniversityJapan,32.2,29.3
Middle East Technical UniversityTurkey,92,28.8
National Cheng Kung UniversityTaiwan,28.4,27.2
Istanbul Technical UniversityTurkey,79.7,26.5
Novosibirsk State UniversityRussian Federation,70.5,26.2
National Sun Yat-Sen UniversityTaiwan,39,25.8
Florida Institute of TechnologyUnited States of America,99.2,24.6
State University of CampinasBrazil,28,22.6
University of SeoulSouth Korea,63.3,21.4
Lappeenranta University of TechnologyFinland,59.9,20.8
University of São PauloBrazil,32.3,20.4
Wuhan UniversityChina,48.5,18
University of Marrakech Cadi AyyadMorocco,83,12.1
Lomonosov Moscow State UniversityRussian Federation,33.8,8.6
