Name,Publications,publication,Citation,h-index
"26. Singh, Ranjan Kumar",52,2017,184,13
"107. Mandal, Rajiv Kumar",29,2015,182,13
"207. Rai, Umashanker",21,2016,167,13
"253. Singh, Rajeev Pratap",19,2016,125,13
"88. Dwivedi, Bhola N.",31,2015,104,13
"220. Khanna, Anuradha K.",20,2016,89,13
"151. Mishra, Arun Kumar",25,2016,72,13
"56. Basu, Sriparna K.",39,2016,60,13
"278. Srivastava, Rakesh Kumar",18,2016,18,13
"390. Singh, Shio Kumar",14,2017,16,13
"99. Prasad, Satyendra Kuldip",30,2017,447,12
"201. Verma, Girijesh Kumar",22,2015,356,12
"280. Awasthi, Rahul",17,2014,336,12
"78. Kharwar, Ravindra Nath",33,2017,310,12
"222. Mishra, Prashant Kumar",20,2017,275,12
"58. Singh, Neetu K.",38,2017,268,12
"39. Singh, Kiran",43,2017,265,12
"304. Kumar, Virendra Santosh",16,2016,207,12
"385. Singh, Ambrish P.",14,2016,185,12
"150. Mandal, Kam Deo",25,2017,170,12
"398. Upadhyay, Sudhaker",14,2016,161,12
"262. Mishra, Abha P.",18,2015,155,12
"458. Mishra, Monika K.",12,2015,152,12
"236. Singh, Raj Pal B",20,2017,148,12
"399. Verma, Vijay Chandra",14,2015,147,12
"137. Tiwari, Ida N.",27,2017,145,12
"93. Tewari, Mallika",31,2017,132,12
"227. Rai, Ramanand",20,2016,103,12
"Singh, Usha V.",11,2014,96,12
"42. Jain, Pradip Kumar",42,2016,60,12
"216. Chaturvedi, Chandra Mohini",20,2017,59,12
"410. Khanna, Ajay Kumar Umar",13,2016,59,12
"114. Anupurba, Shampa",28,2017,58,12
"368. Manna, Partha Pratim",14,2016,56,12
"296. Trivedi, Sameer P.",17,2016,49,12
"195. Singh, Dinesh Kumar",22,2016,44,12
"470. Singh, Ravi Pratap",12,2016,41,12
"164. Pandey, Rampal P.",24,2015,339,11
"275. Singh, Vikram K.",18,2016,178,11
"224. Pandey, Anand Kumar",20,2016,172,11
"189. Krishnamurthy, Sairam",22,2017,164,11
"266. Patel, Vijay Kumar",18,2017,153,11
"20. Prasad, Rajniti V.",56,2017,143,11
"235. Singh, Radhey Mohan",20,2016,137,11
"35. Yadav, Rajendra A.",44,2017,124,11
"159. Tewari, Ashish Kumar",25,2017,120,11
"181. Tripathi, Kamlakar K.",23,2016,103,11
"28. Singh, Surya Pal",50,2016,94,11
"260. Khanna, Hari Dev",18,2017,93,11
"260. Khanna, Hari Dev",18,2017,93,11
"194. Rathaur, Sushma",22,2017,89,11
"351. Singh, Priyanka C.",15,2016,89,11
"263. Mukhopadhyay, Santwana N.",18,2017,86,11
"132. Malik, Julie P.",27,2016,76,11
"177. Singh, Brahma Deo",23,2017,63,11
"196. Singh, Sachin Kumar",22,2016,62,11
"288. Mittal**, Ajay Kumar",17,2017,56,11
"202. Banerjee, Tuhina",21,2016,50,11
"365. Kumar, Mirgender Jagadesh",14,2016,35,11
"373. Ojha, Sant Prasad",14,2016,27,11
"139. Kaur, Surinder",26,2016,310,10
"67. Mondal, Monoj Kumar",35,2017,291,10
"61. Verma, Chandrabhan Bhan",37,2017,264,10
"279. Allam, Bharat Kumar",17,2016,242,10
"33. Misra, Arvind Kumar",45,2017,240,10
"214. Ali, Rashid",20,2017,223,10
"129. Khanna, Ranjana S.",27,2016,155,10
"348. Singh, Laxman K.",15,2014,154,10
"229. Rastogi, Rashmi Bala",20,2017,145,10
"406. Gupta, Praveen Kumar",13,2013,143,10
"464. Shahi, Rohit R.",12,2014,138,10
"184. Bahadur, Lal",22,2017,137,10
"30. Jit, Satyabrata",47,2016,136,10
"Rao, Nittala V Chalapathi",11,2016,135,10
"36. Jha, Alok Kumar S",43,2017,130,10
"249. Shaz, Mohammad Abu",19,2016,128,10
"49. Sahu, Daya Ram",41,2017,117,10
"Yashpal, Madhu",11,2015,117,10
"171. Bhattacharya, Subrato N.",23,2015,109,10
"355. Trigun, Surendra Kumar Umar",15,2016,109,10
"113. Agrawal, Neeraj Kumar",28,2016,108,10
"311. Roy, Jagat Kumar",16,2017,98,10
"168. Tilak, Ragini",24,2016,96,10
"324. Tiwari, Kavindra Nath Ath",16,2016,93,10
"340. Negi, Reena",15,2015,92,10
"134. Singh, Prakash K.",27,2016,86,10
"391. Singh, Suruchi S.",14,2015,73,10
"247. Ram, Shri N.",19,2016,59,10
"307. Mittal, Swati",16,2017,55,10
"Sagar, R.",11,2015,44,10
"258. Gangopadhyay, Ajay Narayan",18,2016,25,10
"426. Singh, Mandavi K.",13,2016,25,10
"465. Sharma, Shiru Shelly",12,2016,14,10
"103. Chowdhury, Sushobhan",29,2016,476,9
"170. Ansari, Kashif R.",23,2017,244,9
"433. Vanjari, Rajeshwer",13,2016,243,9
"297. VERMA, Jay Prakash",17,2016,242,9
"154. Singh, Akanksha P.",25,2016,241,9
"230. Razi, Syed S.",20,2017,223,9
"96. Koch, Biplob",30,2017,208,9
"270. Shukla, Gaurav",18,2017,208,9
"40. Srivastava, Punita C.",43,2016,192,9
"323. Soma, Arunkumar",16,2016,169,9
"457. Mishra, Kavita K.",12,2015,165,9
"435. Vishwakarma, Niraj Kumar",13,2016,155,9
"420. Saxena, Preeti Suman",13,2017,150,9
"401. Biswas, Chandra Sekhar",13,2016,146,9
"Mishra, Avnish Kumar",11,2014,143,9
"102. Upadhyay, Ram Sanmukh",30,2016,124,9
"110. Singh, Surya Kumar",29,2016,123,9
"126. Yadava, R. D S",28,2016,113,9
"126. Yadava, R. D S",28,2016,113,9
"212. Srivastava, Pradeep C.",21,2017,113,9
"92. Shrivastava, Sushant Kumar",31,2017,112,9
"117. Mishra, Vimal N.",28,2017,112,9
"115. Banerjee*, Tarun Kumar",28,2017,102,9
"374. Pandey-Rai, Shashi",14,2016,97,9
"468. Singh, R. S.",12,2016,88,9
"246. Rai, Kabindranath",19,2017,79,9
"302. Khanna, Seema S.",16,2015,77,9
"325. Upadhyay, Shail",16,2016,77,9
"440. Chauhan, Durg Singh",12,2016,69,9
"268. Shanker, Rama",18,2016,60,9
"370. Mutsuddi, Mousumi",14,2016,59,9
"412. Kumar, Mukesh Pran Subodh",13,2017,58,9
"213. Tripathi, Durgesh Kumar",21,2017,57,9
"313. Singh, Asha Lata",16,2016,57,9
"271. Singh, Birendra P.",18,2017,47,9
"381. Sastry, Gunturi V S",14,2017,38,9
"Maurya, Manju K.",11,2013,29,9
"299. Gupta, Vineeta M.",16,2017,27,9
"232. Sharma, Shiv Prasad",20,2016,23,9
"Kumar, Vijayendra R Ravi",11,2014,19,9
"418. Patel, D. K.",13,2013,297,8
"461. Nayak, Manasa K.",12,2016,255,8
"205. Laloo, Damiki",21,2017,238,8
"188. Kedia, Akash",22,2017,225,8
"161. Chanda, Tanmoy",24,2016,211,8
"405. Guntreddi, Tirumaleswararao",13,2017,202,8
"264. Nagaraju, Anugula Anugula",18,2015,176,8
"349. Singh, Pooja N.",15,2016,169,8
"337. Joy, Keerikkattil Paily",15,2015,168,8
"175. Shah, Kavita",23,2017,167,8
"231. Sharma, Gunjan G.",20,2017,165,8
"429. Singh, Surya Pratap",13,2017,157,8
"476. Tiwari, Karishma K.",12,2015,152,8
"286. Krishnamoorthi, S.",17,2017,143,8
"362. Jain, Akansha",14,2015,136,8
"57. Bharty, Manoj Kumar",39,2017,135,8
"131. Kumar, Arvind",27,2016,128,8
"43. Meshram, Manoj Kumar",42,2016,126,8
"482. Dhanawat, Meenakshi",11,2016,117,8
"327. Asthana, Mrityunjaya",15,2016,105,8
"335. Jain, Ashok Kumar",15,2016,92,8
"138. Chaubey, Raghavendra",26,2016,81,8
"276. Sinha, Indrajit",18,2016,81,8
"127. Chaube, Radha",27,2017,75,8
"144. Singh, Bachcha S.",26,2016,71,8
"142. Shukla, Ram Chandra",26,2017,66,8
"480. Arun, Balasubramaniam",11,2016,64,8
"321. Singh, Vijay B.",16,2016,63,8
"305. Kumari, Usha",16,2017,55,8
"413. Kumar, Sanjay B Sunil",13,2016,53,8
"306. Mishra, Rajnikant N.",16,2017,51,8
"454. Kushawaha, Surendra K.",12,2015,51,8
"367. Mankhand, Tilak Raj",14,2017,47,8
"226. Pandey, Shyam Sunder",20,2017,45,8
"347. Singh, Bipin Kumar",15,2016,43,8
"312. Singaravel, Muniyandi",16,2017,33,8
"397. Tripathi, Mukut Mani",14,2017,25,8
"377. Prakash, Divya",14,2017,13,8
"415. Mishra, Ashish K.",13,2016,229,7
"105. Garg, P.",29,2016,164,7
"221. Maurya, Bihari Ram",20,2017,157,7
"130. Koley, Suvajit",27,2016,156,7
"244. Prasad, Ram Lakhan",19,2016,153,7
"290. Rastogi, Pankaj Kumar",17,2017,153,7
"65. Agrawal, Aruna",35,2016,152,7
"165. Sharma, Anupama K.",24,2015,143,7
"453. Kumari, Kumkum Sita",12,2015,142,7
"228. Ramulu, B. Janaki",20,2016,137,7
"277. Srikrishna, Saripella",18,2017,136,7
"438. Bajpai, Surabhi K.",12,2016,134,7
"333. Gupta, Ajit N.",15,2016,125,7
"256. Agarwal, Alka K.",18,2016,119,7
"191. Kumari, Niraj Aruna",22,2017,118,7
"192. Misra, Nira M.",22,2016,102,7
"259. Gupta, Sanjeev Kumar",18,2016,102,7
"336. Jaiswal, Vinay",15,2017,102,7
"379. Rai, Geeta",14,2016,101,7
"80. Singh, Shri B.",33,2016,84,7
"158. Srivastava, Arvind L.",25,2017,73,7
"225. Pandey, Praveen Chandra",20,2016,43,7
"329. Basu, Somprakas K.",15,2016,43,7
"316. Singh, Hema N.",16,2017,39,7
"441. Das, Rashmita R.",12,2016,38,7
"386. Singh, Hemant Kumar",14,2016,36,7
"436. Acharya, Arbind",12,2016,35,7
"472. Srivastava, Chandra Prakash",12,2016,24,7
"322. Singh, Vivek Kumar",16,2017,21,7
"215. Bansal, Manish P.",20,2015,17,7
"345. Singh, Ankur K.",15,2017,12,7
"200. Verma, Ashish K.",22,2017,11,7
"389. Singh, Rahul Kumar",14,2017,172,6
"206. Meena, Vijay Singh",21,2017,142,6
"104. Gangwar, Mayank",29,2016,119,6
