Column 1,Column 2,Column 3,Column 4
289 50.5,Peking University,,
290 50.0,University of Guelph,,
291 49.7,Pohang University of Science And Technology (POSTECH),,
292 49.6,Instituto Tecnológico Autónomo de México (ITAM),,
293 49.5,Ruprecht-Karls-Universitaet Heidelberg,,
294 49.4,Brown University,,
295 49.0,National Chiao Tung University,,
296 48.9,Tongji University,,
297 48.8,Universität des Saarlandes,,
298 48.4,University Ulm,,
300 47.9,EBS Business School,,
301 47.8,Tsinghua University,,
302 47.2,Eberhard Karls Universität Tübingen,,
303 47.2,Princeton University,,
304 46.5,Robert Gordon University,,
305 46.0,University of Eastern Finland,,
306 46.0,University of Southern Queensland,,
307 46.0,Colegio Mayor de Nuestra Senora del Rosario,,
308 45.5,University of Trento,,
309 45.4,"University of Missouri, Columbia (Mizzou)",,
310 45.2,Université Stendhal Grenoble 3,,
311 45.0,Emory University,,
312 45.0,Abo Akademi University,,
313 44.7,Georgetown University,,
314 44.5,Georg-August-University Goettingen,,
315 44.5,Universiti Putra Malaysia (UPM),,
316 44.3,Universidad Adolfo Ibàñez,,
317 44.3,Vrije Universiteit Amsterdam,,
318 44.3,Bar-Ilan University,,
319 44.3,Universidad de las Américas Puebla (UDLAP),,
320 43.6,Université Toulouse 1 Capitole,,
321 43.3,Université Paris Dauphine,,
322 43.0,Sun Yat-sen University,,
323 43.0,Copenhagen Business School,,
324 42.8,Wageningen University,,
325 42.7,Dublin Institute of Technology,,
326 42.6,Universität Bremen,,
327 42.6,Universität Regensburg,,
328 42.4,University of Oulu,,
329 42.3,University of Saskatchewan,,
330 42.3,Université de Strasbourg,,
331 41.0,Institut National des Sciences Appliquées de Lyon (INSA),,
332 40.6,University of the Western Cape,,
333 40.5,University of Jyväskylä,,
334 40.2,University of Colorado Boulder,,
335 40.1,Universidad de Palermo (UP),,
336 39.7,Universität Bayreuth,,
337 39.7,University of Delaware,,
338 39.6,Koc University,,
339 39.6,Ruhr-Universität Bochum,,
340 39.5,Universidade Nova de Lisboa,,
341 39.3,Northumbria University at Newcastle,,
342 39.2,Technische Universität Berlin,,
343 39.1,National Tsing Hua University,,
344 38.7,University of Indonesia,,
345 38.7,Hankuk (Korea) University of Foreign Studies,,
345 38.7,Nanjing University,,
347 38.4,Université Paris Diderot - Paris 7,,
348 38.2,Politecnico di Milano,,
349 38.1,"University of North Carolina, Chapel Hill",,
350 38.1,Universität Stuttgart,,
351 37.8,Universidad Diego Portales,,
352 37.7,Nottingham Trent University,,
353 37.3,Johannes Gutenberg Universität Mainz,,
354 37.3,Université Paris-Sud,,
355 37.2,Linköping University,,
356 37.2,University of Oklahoma,,
357 37.0,University of South Carolina,,
358 36.7,York University,,
359 36.6,Universidad Carlos III de Madrid (UC3M),,
360 36.5,Case Western Reserve University,,
361 36.4,University of Huddersfield,,
362 36.4,Université Pierre et Marie Curie (UPMC),,
363 35.9,University of Rochester,,
364 35.8,University of Gothenburg,,
365 35.7,Northeastern University,,
366 35.6,Waseda University,,
367 35.5,Universidad Peruana Cayetano Heredia,,
368 35.3,Julius-Maximilians-Universität Würzburg,,
369 35.1,Umea University,,
370 34.8,Universidad de los Andes,,
371 34.8,University of Southern California,,
372 34.5,Weizmann Institute of Science,,
373 34.3,Tel Aviv University,,
374 34.2,Drexel University,,
375 34.1,Universidad de Montevideo (UM),,
376 33.8,University of Turku,,
377 33.8,North Carolina State University,,
378 33.7,Manchester Metropolitan University,,
379 33.5,Università Commerciale Luigi Bocconi,,
380 33.0,Columbia University,,
381 33.0,"Rutgers - The State University of New Jersey, Newark",,
382 32.9,Université de Cergy-Pontoise,,
