Column 1,Column 2,Column 3,Column 4
334 44.2,Université de Sherbrooke,,
335 44.0,Université Joseph Fourier - Grenoble 1,,
336 43.9,University of San Francisco,,
337 43.8,University of Washington,,
338 43.6,Université de Toulouse II-Le Mirail,,
339 43.5,University of Bern,,
340 43.4,Baylor College of Medicine,,
341 43.2,Memorial University of Newfoundland,,
342 43.2,Moscow State Institute of International Relations (MGIMO University),,
343 42.8,Humboldt-Universität zu Berlin,,
344 42.8,Université Lumière Lyon 2,,
345 42.7,University of Oregon,,
346 42.4,University of Manitoba,,
347 42.4,"University of California, San Diego (UCSD)",,
348 42.2,University of Michigan,,
349 42.2,Technische Universität Dresden,,
350 42.0,Plymouth University,,
351 41.6,KU Leuven,,
352 41.6,Ruhr-Universität Bochum,,
353 41.6,North Carolina State University,,
354 41.5,Université de Cergy-Pontoise,,
355 41.1,Norwegian University of Science And Technology,,
356 40.9,"University of Rome ""Tor Vergata""",,
357 40.5,"National Technical University ""Kharkiv Polytechnic Institute""",,
358 40.2,Waseda University,,
359 40.1,Université de Montpellier,,
360 39.9,Arizona State University,,
361 39.9,Ludwig-Maximilians-Universität München,,
362 39.9,Khazar University,,
363 39.8,Universitat Pompeu Fabra,,
364 39.8,Technische Universität Braunschweig,,
365 39.6,Universit Paul-Valery Montpellier 3,,
366 39.6,Kyung Hee University,,
367 39.5,University of Iowa,,
368 39.4,Kuwait University,,
369 39.4,Czech Technical University in Prague,,
370 39.2,Korea University,,
371 39.1,Rheinische Friedrich-Wilhelms-Universitt Bonn,,
372 39.0,Ulster University,,
373 38.9,Laval University,,
374 38.9,Karl-Franzens-Universitaet Graz,,
375 38.8,Radboud University,,
376 38.7,Corvinus University of Budapest,,
377 38.7,Aalto University,,
378 38.6,University Complutense Madrid,,
379 38.4,École Normale Supérieure de Lyon,,
380 38.4,University of Szeged,,
381 38.3,American University,,
382 38.1,Nottingham Trent University,,
383 38.0,Moscow Institute of Physics and Technology State University,,
384 38.0,Smith College,,
385 38.0,Universidad de Buenos Aires (UBA),,
386 37.9,Georg-August-University Goettingen,,
387 37.8,University of Amsterdam,,
388 37.8,University of Copenhagen,,
389 37.6,University of Minnesota,,
390 37.5,University of Windsor,,
391 37.4,Voronezh State University,,
392 37.1,Qafqaz University,,
393 37.0,"University of Maryland, College Park",,
394 37.0,University Hamburg,,
395 36.8,Université de Poitiers,,
396 36.7,Chung-Ang University(CAU),,
397 36.1,"University of California, Riverside",,
398 36.1,Tsinghua University,,
399 36.1,University of Wisconsin-Madison,,
400 35.9,University of Virginia,,
